mr,ref,prediction,1-gram,2-gram,3-gram,4-gram
"name[Blue Spice], eatType[coffee shop], area[city centre]",A coffee shop in the city centre area called Blue Spice.,Children in city centre.,0.1973,0.0616,0.0000,0.0000
"name[Blue Spice], eatType[coffee shop], area[city centre]",Blue Spice is a coffee shop in city centre.,Children in city centre.,0.2943,0.2759,0.2453,0.1839
"name[Blue Spice], eatType[coffee shop], area[riverside]",There is a coffee shop Blue Spice in the riverside area.,Children on the riverside,0.0677,0.0451,0.0000,0.0000
"name[Blue Spice], eatType[coffee shop], area[riverside]","At the riverside, there is a coffee shop called The Blue Spice.",Children on the riverside,0.0410,0.0274,0.0000,0.0000
"name[Blue Spice], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]",The coffee shop Blue Spice is based near Crowne Plaza Hotel and has a high customer rating of 5 out of 5.,Children place near Café Brazil in the city centre with a customer 5 out of 5 customer rating,0.3367,0.1782,0.0947,0.0505
"name[Blue Spice], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]","The Blue Spice coffee shop, near Crowne Plaza Hotel, has a customer rating of 5 out of 5.",Children place near Café Brazil in the city centre with a customer 5 out of 5 customer rating,0.3762,0.2490,0.1058,0.0564
"name[Blue Spice], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]",If you want a coffee shop rated 5 out of 5 pick Blue Spice. It is located near Crowne Plaza Hotel.,Children place near Café Brazil in the city centre with a customer 5 out of 5 customer rating,0.2525,0.1337,0.0947,0.0505
"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]",Burger King is near the coffee shop Blue Spice which has an average customer rating.,Children near Café Rouge in riversidewith an average customer The Golden Palace restaurant.,0.3096,0.1334,0.0722,0.0000
"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]","The Blue Spice coffee shop near Burger King has good customer ratings with excellent food and service, with a lovely atmosphere.",Children near Café Rouge in riversidewith an average customer The Golden Palace restaurant.,0.1502,0.0000,0.0000,0.0000
"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]",Average customer rating coffee shop include Blue Spice near Burger King.,Children near Café Rouge in riversidewith an average customer The Golden Palace restaurant.,0.2143,0.0000,0.0000,0.0000
mr,ref,prediction,1-gram,2-gram,3-gram,4-gram
"name[Blue Spice], eatType[coffee shop], area[city centre]",A coffee shop in the city centre area called Blue Spice.,Children in city centre.,0.1973,0.0616,0.0000,0.0000
"name[Blue Spice], eatType[coffee shop], area[city centre]",Blue Spice is a coffee shop in city centre.,Children in city centre.,0.2943,0.2759,0.2453,0.1839
"name[Blue Spice], eatType[coffee shop], area[riverside]",There is a coffee shop Blue Spice in the riverside area.,Children on the riverside,0.0677,0.0451,0.0000,0.0000
"name[Blue Spice], eatType[coffee shop], area[riverside]","At the riverside, there is a coffee shop called The Blue Spice.",Children on the riverside,0.0410,0.0274,0.0000,0.0000
"name[Blue Spice], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]",The coffee shop Blue Spice is based near Crowne Plaza Hotel and has a high customer rating of 5 out of 5.,Children place near Café Brazil in the city centre with a customer 5 out of 5 customer rating,0.3367,0.1782,0.0947,0.0505
"name[Blue Spice], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]","The Blue Spice coffee shop, near Crowne Plaza Hotel, has a customer rating of 5 out of 5.",Children place near Café Brazil in the city centre with a customer 5 out of 5 customer rating,0.3762,0.2490,0.1058,0.0564
"name[Blue Spice], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]",If you want a coffee shop rated 5 out of 5 pick Blue Spice. It is located near Crowne Plaza Hotel.,Children place near Café Brazil in the city centre with a customer 5 out of 5 customer rating,0.2525,0.1337,0.0947,0.0505
"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]",Burger King is near the coffee shop Blue Spice which has an average customer rating.,Children near Café Rouge in riversidewith an average customer The Golden Palace restaurant.,0.3096,0.1334,0.0722,0.0000
"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]","The Blue Spice coffee shop near Burger King has good customer ratings with excellent food and service, with a lovely atmosphere.",Children near Café Rouge in riversidewith an average customer The Golden Palace restaurant.,0.1502,0.0000,0.0000,0.0000
"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]",Average customer rating coffee shop include Blue Spice near Burger King.,Children near Café Rouge in riversidewith an average customer The Golden Palace restaurant.,0.2143,0.0000,0.0000,0.0000
